brand,product_name,rating,amount 
Tarte,Sugar Rush - Skin FTW Skincare Essentials,3.0,$20.00
The Body Shop,Tea Tree Travel Kit,4.0,$12.00
EVE LOM,Online Only Cleanser,5.0,$80.00 - $135.00
The Body Shop,Online Only Bunny & The Carrot Skincare Gift Set,Null,$25.00
Lano,Jet Set Travel Essentials Trio,Null,$27.00
Estée Lauder,Online Only Repair + Renew For Radiant-Looking Skin Set,Null,$104.00
EVE LOM,Online Only Travel Size Cleanser,Null,$24.00
It Cosmetics,CC+ Cream with SPF 50+,4.5,$39.00
BareMinerals,Complexion Rescue Tinted Hydrating Gel Cream Broad Spectrum SPF 30,4.5,$32.00
Mario Badescu,Facial Spray With Aloe, Herbs and Rosewater,4.5,$7.00 - $12.00
It Cosmetics,Bye Bye Foundation Full Coverage Moisturizer with SPF 50+,4.0,$39.50
Clinique,Moisture Surge 72 Hour Auto-Replenishing Hydrator,4.5,$21.00 - $78.00
It Cosmetics,Confidence In A Cream Hydrating Moisturizer,4.5,$48.00
Mario Badescu,Spritz. Mist. Glow. Set,4.5,$21.00
It Cosmetics,CC+ Cream Illumination SPF 50+,4.5,$39.00
It Cosmetics,Bye Bye Redness Sensitive Skin Moisturizer,4.0,$48.00
Clinique,Dramatically Different Moisturizing Lotion+,4.5,$15.00 - $28.00
Neutrogena,Hydro Boost Water Gel,4.5,$23.99
Tula,24-7 Moisture Hydrating Day & Night Cream,4.5,$52.00
Kiehl's Since 1851,Ultra Facial Cream,4.5,$18.00 - $53.00
It Cosmetics,Complexion Perfection At Home & On The Go Your Life-Changing CC+ Cream Duo,5.0,$42.00
Peter Thomas Roth,Hungarian Thermal Water Mineral-Rich Moisturizer,4.0,$58.00
Philosophy,Renewed Hope In A Jar,4.5,$39.00 - $65.00
Mario Badescu,Facial Spray with Aloe, Cucumber and Green Tea,4.5,$7.00 - $12.00
Neutrogena,Hydro Boost Gel-Cream,4.5,$23.99
StriVectin,TL Advanced Tightening Neck Cream PLUS,4.5,$95.00 - $139.00
Clinique,Dramatically Different Moisturizing Gel,4.5,$15.00 - $28.00
Origins,GinZing Oil-Free Energy-Boosting Gel Moisturizer,4.0,$18.00 - $30.00
Juice Beauty,STEM CELLULAR Anti-Wrinkle Moisturizer,4.5,$70.00
Dermalogica,Active Moist,4.5,$42.00 - $66.00
Olay,Regenerist Retinol 24 Night Moisturizer,4.5,$38.99
NARS,Pure Radiant Tinted Moisturizer,4.5,$45.00
Dermalogica,Dynamic Skin Recovery Broad Spectrum SPF 50,4.5,$75.00
Clinique,Moisture Surge Intense Skin Fortifying Hydrator,4.5,$39.50 - $54.00
The Ordinary,100% Organic Cold Pressed Rose Hip Seed Oil,4.5,$9.80
First Aid Beauty,Ultra Repair Cream,4.5,$34.00
Tarte,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20,4.5,$36.00
Dermalogica,Skin Smoothing Cream,4.5,$43.00 - $69.00
Dermalogica,Intensive Moisture Balance,4.5,$44.00 - $72.00
Clinique,Limited Edition Jumbo Dramatically Different Moisturizing Lotion+,4.5,$39.00
Dermalogica,Age Smart Super Rich Repair,5.0,$89.00
It Cosmetics,Confidence in a Cream Rosy Tone Moisturizer,4.5,$48.00
Olay,Regenerist Micro-Sculpting Cream Fragrance-Free,4.5,$28.99
Philosophy,Ultimate Miracle Worker SPF 30,4.5,$75.00
Tarte,BB Tinted Treatment 12 Hour Primer Broad Spectrum SPF 30,4.5,$37.00
No7,Lift & Luminate Triple Action Night Cream,4.5,$26.99
Clinique,Redness Solutions Daily Relief Cream With Probiotic Technology,4.5,$49.50
Mamonde,Lip Sleeping Mask,4.5, 			$9.80
Lancôme,Rénergie Lift Multi-Action Lifting And Firming Cream - All Skin Types,4.5,$99.00 - $119.00
Peter Thomas Roth,Water Drench Hyaluronic Cloud Cream,4.5, 			$52.00 - $99.00
StriVectin,SD Advanced Plus Intensive Moisturizing Concentrate For Wrinkles & Stretch Marks,4.5,$79.00 - $139.00
florence by mills,Dreamy Dew Moisturizer,4.5,$14.00
Jack Black,Double Duty Face Moisturizer SPF 20,5.0,$28.00 - $48.00
Mario Badescu,Facial Spray with Aloe, Chamomile and Lavender,4.0,$7.00 - $12.00
Olay,Regenerist Night Recovery Cream,4.5,$29.99
Philosophy,Anti-Wrinkle Miracle Worker+ Line Correcting Moisturizer,4.5,$64.00
PEACH & LILY,Lazy Day's All-In-One Moisture Pad,4.5, 			$27.30
No7,Protect & Perfect Intense Advanced Day Cream SPF 30,4.5,$24.99
PEACH & LILY,Matcha Pudding Antioxidant Cream,4.5,$40.00
CeraVe,PM Facial Moisturizing Lotion,4.5,$15.99
Mario Badescu,Seaweed Night Cream,4.5,$22.00
Clinique,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,4.0,$39.50
Juice Beauty,STEM CELLULAR CC Cream,4.0,$39.00
Juice Beauty,GREEN APPLE Age Defy Moisturizer,4.5,$50.00
Origins,Clear Improvement Pore Clearing Moisturizer with Salicylic Acid,4.5,$34.00
florence by mills,Glow Yeah Lip Oil,4.5,$14.00
boscia,Cactus Water Moisturizer,4.5,$38.00
No7,Lift & Luminate Triple Action Day Cream SPF 30,4.0,$26.99
Lancôme,Rénergie Lift Multi-Action Lift And Firming Night Cream,4.5,$122.00
Olay,Regenerist Micro Sculpting Cream,4.5,$28.99
BareMinerals,Prime Time BB Primer-Cream Daily Defense Broad Spectrum SPF 30,4.5,$27.00
It Cosmetics,Travel Size CC+ Cream with SPF 50+,4.0,$15.00
Skyn Iceland,The ANTIDOTE Cooling Daily Lotion,4.5, 			$32.20
Crepe Erase,Intensive Body Repair Treatment,4.5,$79.00
It Cosmetics,Confidence In A Gel Lotion Weightless Moisturizer,4.5,$36.00
Mad Hippie,Antioxidant Facial Oil,4.5,$24.99
Estée Lauder,Revitalizing Supreme+ Global Anti-Aging Cell Power Creme,4.0,$55.00 - $85.00
Erborian,Online Only CC Crème,4.5,$44.00
Dermalogica,Sound Sleep Cocoon,4.5,$82.00
Benefit Cosmetics,Total Moisture Facial Cream,4.5,$42.00
It Cosmetics,Confidence In A Neck Cream Moisturizer,4.5,$52.00
Mario Badescu,Hydro Moisturizer With Vitamin C,4.5,$18.00
Touch In Sol,Pretty Filter Glassy Skin Balm,4.5, 			$22.40
Origins,Original Skin Matte Moisturizer With Willowherb,4.5,$36.00
Clinique,Clinique iD Dramatically Different Base,4.0,$25.00
Estée Lauder,DayWear Multi-Protection Anti-Oxidant 24H-Moisture Crème Broad Spectrum SPF 15,4.0,$34.00 - $54.00
BareMinerals,Bare Haven Essential Moisturizing Soft Cream,4.5, 			$26.25 - $41.25
Philosophy,Renewed Hope In A Jar Overnight,4.5,$49.00
NYX Professional Makeup,Bare With Me Cannabis Sativa Seed Oil Lip Conditioner,4.5,$7.00
Jack Black,Limited Edition ULTAmint Lip Therapy,4.5,$5.97
Truly,Doll Skin Face Cream,4.0,$28.00
No7,Restore & Renew Face & Neck Multi Action Day Cream SPF 30,4.5,$26.99
Dermalogica,Antioxidant HydraMist,4.5,$45.00
Philosophy,Renewed Hope In A Jar SPF 30,4.5,$39.00
Philosophy,Purity Made Simple Moisturizer,4.0,$25.00
Perricone MD,Cold Plasma Sub-D,4.0,$135.00
